IMAGE_ID,LABEL,FONT_ID,WIDTH,HEIGHT
47.jpg,Fifty Two Thousand Two Hundred and Ninety,0.ttf,1640,150
48.jpg,Eighty One Crore Five Lakh,2.ttf,1040,150
49.jpg,Sixty Four Crore Ninety Five Lakh,2.ttf,1320,150
50.jpg,Forty Nine Thousand Two Hundred and Fifty,1.ttf,1640,150
51.jpg,Sixty Eight Thousand Five Hundred and Fifteen,0.ttf,1800,150
52.jpg,Sixty Three Thousand Four Hundred and Ten,3.ttf,1640,150
53.jpg,Eleven Thousand Seven Hundred and Forty Two,2.ttf,1720,150
54.jpg,Eighty Two Crore Thirty Three Lakh,3.ttf,1360,150
55.jpg,Fifty Seven Crore Fifty Two Lakh,1.ttf,1280,150
56.jpg,Sixty Crore Ninety Seven Lakh,0.ttf,1160,150
57.jpg,Seventy Two Crore Sixty One Lakh,0.ttf,1280,150
58.jpg,Thirty Eight Crore Thirty Four Lakh,2.ttf,1400,150
59.jpg,Three Thousand Five Hundred and Eighty,1.ttf,1520,150
60.jpg,Seventy Two Crore Eighty Lakh,0.ttf,1160,150
61.jpg,Sixty Five Crore Thirty Six Lakh,1.ttf,1280,150
62.jpg,Thirty One Crore Sixteen Lakh,2.ttf,1160,150
63.jpg,Seven Thousand Seven Hundred and Thirty Four,2.ttf,1760,150
64.jpg,Thirteen Crore Seventy Five Lakh,2.ttf,1280,150
65.jpg,Ninety Three Crore Forty Lakh,2.ttf,1160,150
66.jpg,Forty Four Thousand Three Hundred and Fourteen,2.ttf,1840,150
67.jpg,Ninety Six Crore Five Lakh,3.ttf,1040,150
68.jpg,Fifty Two Crore Ninety One Lakh,2.ttf,1240,150
69.jpg,Ninety Two Thousand Seven Hundred and Sixty Seven,1.ttf,1960,150
70.jpg,Eighty One Crore Seventeen Lakh,3.ttf,1240,150
71.jpg,Twenty Four Thousand Eight Hundred and Eighty One,3.ttf,1960,150
72.jpg,Eleven Thousand Nine Hundred and Twenty,0.ttf,1560,150
73.jpg,Ninety Three Crore Ninety Three Lakh,1.ttf,1440,150
74.jpg,Seventy Nine Thousand Five Hundred and Nine,0.ttf,1720,150
75.jpg,Thirty Five Crore Twenty Three Lakh,1.ttf,1400,150
76.jpg,Eighty Two Thousand Four Hundred and Ninety,3.ttf,1720,150
77.jpg,Eleven Crore Ninety Five Lakh,2.ttf,1160,150
78.jpg,Seventy Seven Crore Sixty Three Lakh,3.ttf,1440,150
79.jpg,Eighty Three Thousand Four Hundred and Seventy Seven,3.ttf,2080,150
80.jpg,Sixty One Crore Fifty Lakh,3.ttf,1040,150
81.jpg,Eighty Five Crore Twelve Lakh,0.ttf,1160,150
82.jpg,Seventeen Thousand Nine Hundred and Sixty,1.ttf,1640,150
83.jpg,Forty Eight Thousand Three Hundred and Seventy Nine,1.ttf,2040,150
84.jpg,Eighty Five Crore Twenty Eight Lakh,1.ttf,1400,150
85.jpg,Forty Three Thousand and Seventy,3.ttf,1280,150
86.jpg,Eighty Crore Sixty Seven Lakh,1.ttf,1160,150
87.jpg,Seventy Two Thousand Nine Hundred and Thirty Seven,2.ttf,2000,150
88.jpg,Fifty Eight Thousand One Hundred and Eighty Five,2.ttf,1920,150
89.jpg,Forty One Crore Thirteen Lakh,0.ttf,1160,150
90.jpg,Eighteen Crore Fifty Eight Lakh,3.ttf,1240,150
91.jpg,Twenty Three Crore Seventy Seven Lakh,2.ttf,1480,150
92.jpg,Ninety Six Crore Forty Six Lakh,0.ttf,1240,150
93.jpg,Fourteen Thousand Eight Hundred and Sixty Two,3.ttf,1800,150
94.jpg,Ninety Nine Crore Fifty Two Lakh,0.ttf,1280,150
95.jpg,Forty One Thousand One Hundred and Thirteen,3.ttf,1720,150
96.jpg,One Thousand Six Hundred and Five,2.ttf,1320,150
97.jpg,Fifty Three Thousand Five Hundred and Sixty One,2.ttf,1880,150
98.jpg,Thirty Four Thousand Eight Hundred and Sixty Five,1.ttf,1960,150
99.jpg,Thirty Nine Crore Sixty Four Lakh,2.ttf,1320,150
100.jpg,Ninety Three Crore Seventeen Lakh,2.ttf,1320,150
101.jpg,Twenty Seven Crore Thirty Seven Lakh,2.ttf,1440,150
102.jpg,Thirty Five Thousand Nine Hundred and Thirty One,2.ttf,1920,150
103.jpg,Seventy Four Crore Fifty Seven Lakh,0.ttf,1400,150
104.jpg,Seventy Three Crore Thirty Six Lakh,1.ttf,1400,150
105.jpg,Forty Four Crore Sixty One Lakh,1.ttf,1240,150
106.jpg,Eighty One Lakh,2.ttf,600,150
107.jpg,Sixty Crore Twenty Five Lakh,2.ttf,1120,150
108.jpg,Sixty Eight Thousand Five Hundred and Ten,0.ttf,1640,150
109.jpg,Eighty Seven Thousand Seven Hundred and Ninety Eight,2.ttf,2080,150
110.jpg,Forty Eight Crore Ninety Eight Lakh,2.ttf,1400,150
111.jpg,Eighty Seven Thousand Six Hundred and Eighty Two,1.ttf,1920,150
112.jpg,Seventy Eight Thousand One Hundred and Ninety Eight,1.ttf,2040,150
113.jpg,Ninety Two Thousand Four Hundred and Seventy,2.ttf,1760,150
114.jpg,Thirty Four Thousand One Hundred and Sixty Four,2.ttf,1880,150
115.jpg,Sixty Two Crore Eighty Four Lakh,0.ttf,1280,150
116.jpg,Forty Four Thousand Seven Hundred and Seventy Seven,0.ttf,2040,150
117.jpg,Thirty Eight Thousand Six Hundred and Twenty Eight,3.ttf,2000,150
118.jpg,Forty Five Crore Twenty Seven Lakh,3.ttf,1360,150
119.jpg,Six Crore Seventy Seven Lakh,0.ttf,1120,150
120.jpg,Ninety Crore Ninety Five Lakh,3.ttf,1160,150
121.jpg,Ninety Three Thousand and Seventy Two,1.ttf,1480,150
122.jpg,Thirty Four Thousand One Hundred and Fifteen,0.ttf,1760,150
123.jpg,Seventy Four Thousand Nine Hundred and Sixty One,1.ttf,1920,150
124.jpg,Twenty Six Thousand Nine Hundred and Seventy Two,0.ttf,1920,150
125.jpg,Five Thousand Seven Hundred and Thirty One,3.ttf,1680,150
126.jpg,Fifty Eight Thousand Five Hundred and Two,2.ttf,1640,150
127.jpg,Fourteen Thousand Four Hundred and Ten,1.ttf,1520,150
128.jpg,Fifty Eight Crore Eighty Nine Lakh,3.ttf,1360,150
129.jpg,Sixty Nine Thousand Three Hundred and Forty Three,2.ttf,1960,150
130.jpg,Eighty Five Crore Seventy Lakh,2.ttf,1200,150
131.jpg,Sixty Thousand One Hundred and Twenty Seven,3.ttf,1720,150
132.jpg,Eighty Two Thousand Five Hundred and Forty Six,1.ttf,1840,150
133.jpg,Forty Six Crore Ten Lakh,3.ttf,960,150
134.jpg,Thirty Five Thousand Two Hundred and Seventy One,0.ttf,1920,150
135.jpg,Sixty Two Crore Fourteen Lakh,3.ttf,1160,150
136.jpg,Thirty Two Crore Forty One Lakh,1.ttf,1240,150
137.jpg,Sixty Five Thousand Three Hundred and Forty One,0.ttf,1880,150
138.jpg,Two Crore Thirty Seven Lakh,2.ttf,1080,150
139.jpg,Seventy Five Thousand Four Hundred and Seventeen,2.ttf,1920,150
140.jpg,Thirty Eight Crore Eleven Lakh,3.ttf,1200,150
141.jpg,Six Crore Sixty Lakh,1.ttf,800,150
142.jpg,Eighty Crore,1.ttf,480,150
143.jpg,Fifty Three Crore Ninety Nine Lakh,3.ttf,1360,150
144.jpg,Seventy Two Thousand and Eighty Eight,0.ttf,1480,150
145.jpg,Forty Nine Thousand Seven Hundred and Eighty Six,1.ttf,1920,150
146.jpg,Twenty Three Lakh,1.ttf,680,150
147.jpg,Seventy One Thousand Seven Hundred and Forty,0.ttf,1760,150
148.jpg,Sixty Six Crore Eighty Eight Lakh,2.ttf,1320,150
149.jpg,Sixteen Crore Forty One Lakh,2.ttf,1120,150
150.jpg,Sixty Eight Crore Fifteen Lakh,2.ttf,1200,150
151.jpg,Twenty Three Crore Forty Three Lakh,3.ttf,1400,150
152.jpg,Twenty Eight Crore Fifty Nine Lakh,1.ttf,1360,150
153.jpg,Twenty Crore Fifty One Lakh,2.ttf,1080,150
154.jpg,One Crore Ninety One Lakh,0.ttf,1000,150
155.jpg,Sixteen Crore Ninety Three Lakh,0.ttf,1240,150
156.jpg,Five Crore Eighty Lakh,2.ttf,880,150
157.jpg,Seventeen Thousand Nine Hundred and Thirty Four,2.ttf,1880,150
158.jpg,Sixty Four Crore Nineteen Lakh,1.ttf,1200,150
159.jpg,Five Crore Sixteen Lakh,1.ttf,920,150
160.jpg,Seventeen Thousand and Ninety Nine,0.ttf,1360,150
161.jpg,Thirty Six Crore Twenty Six Lakh,1.ttf,1280,150
162.jpg,Fifty One Crore Forty One Lakh,2.ttf,1200,150
163.jpg,Seventeen Crore Twenty Seven Lakh,1.ttf,1320,150
164.jpg,Fifty Five Crore Twenty Nine Lakh,1.ttf,1320,150
165.jpg,Thirty Seven Thousand One Hundred and Ninety,0.ttf,1760,150
166.jpg,Eight Thousand Eight Hundred and Forty Seven,3.ttf,1760,150
167.jpg,Fifty One Crore Fifty Seven Lakh,0.ttf,1280,150
168.jpg,Thirty Five Crore Forty Eight Lakh,0.ttf,1360,150
169.jpg,Fifty One Crore Twelve Lakh,2.ttf,1080,150
170.jpg,Forty Eight Thousand Six Hundred and Sixty Five,0.ttf,1880,150
171.jpg,Seventy One Crore Eighty Seven Lakh,0.ttf,1400,150
172.jpg,Ninety Nine Thousand One Hundred and Sixty Six,0.ttf,1840,150
173.jpg,Fifty Four Crore Twenty Five Lakh,1.ttf,1320,150
174.jpg,Forty Two Thousand Five Hundred and Nineteen,0.ttf,1760,150
175.jpg,Eighteen Crore Fifty Seven Lakh,0.ttf,1240,150
176.jpg,Seventy Three Crore Twenty Nine Lakh,1.ttf,1440,150
177.jpg,Five Thousand Three Hundred and Ninety Four,3.ttf,1720,150
178.jpg,Eighty Eight Thousand Three Hundred and Ninety Five,0.ttf,2040,150
179.jpg,Twenty Eight Crore Ninety Seven Lakh,1.ttf,1440,150
180.jpg,Sixty Seven Thousand One Hundred and Ninety,3.ttf,1720,150
181.jpg,Twenty Four Crore Eighteen Lakh,1.ttf,1240,150
182.jpg,Eighty Three Crore Seventy One Lakh,0.ttf,1400,150
183.jpg,Thirty Five Thousand Five Hundred and One,1.ttf,1640,150
184.jpg,Sixty Three Crore Thirteen Lakh,0.ttf,1240,150
185.jpg,Ninety Two Thousand Three Hundred and Ninety Four,2.ttf,1960,150
186.jpg,Ninety Two Crore Forty One Lakh,1.ttf,1240,150
187.jpg,Eighty Three Thousand Three Hundred and Seventy Seven,2.ttf,2120,150
188.jpg,Forty Seven Thousand Four Hundred and Twenty,3.ttf,1760,150
189.jpg,Eight Thousand Six Hundred and Eighty Four,1.ttf,1680,150
190.jpg,Fifty One Thousand Four Hundred and Twenty Three,0.ttf,1920,150
191.jpg,Sixty Two Thousand Five Hundred and Thirty Nine,3.ttf,1880,150
192.jpg,Forty Seven Thousand Six Hundred and Eighty Eight,1.ttf,1960,150
193.jpg,Sixty Three Thousand Three Hundred and Fifty Three,3.ttf,2000,150
194.jpg,Eighty Eight Crore Seventy Two Lakh,3.ttf,1400,150
195.jpg,Thirty Seven Thousand and Sixty Eight,3.ttf,1480,150
196.jpg,Twenty Six Thousand Five Hundred and Thirty Eight,1.ttf,1960,150
197.jpg,Eighty One Crore Eighty Nine Lakh,3.ttf,1320,150
198.jpg,Thirty Two Crore Two Lakh,3.ttf,1000,150
199.jpg,Fifty Six Crore Forty Six Lakh,3.ttf,1200,150
200.jpg,Eighteen Crore Fifty Seven Lakh,0.ttf,1240,150
201.jpg,Thirty One Thousand Eight Hundred and Ninety Nine,3.ttf,1960,150
202.jpg,Seventeen Thousand Eight Hundred and Twenty Seven,2.ttf,1960,150
203.jpg,Ninety Six Crore Sixty Lakh,3.ttf,1080,150
204.jpg,Seventy Nine Crore Forty Eight Lakh,0.ttf,1400,150
205.jpg,Ninety Five Thousand Three Hundred and Thirty Three,2.ttf,2040,150
206.jpg,Twelve Crore Seventy One Lakh,3.ttf,1160,150
207.jpg,Seventy Nine Thousand Two Hundred and Ninety Nine,1.ttf,1960,150
208.jpg,Ninety One Crore Seventy Two Lakh,3.ttf,1320,150
209.jpg,Eight Crore Ninety Three Lakh,1.ttf,1160,150
210.jpg,Forty Three Thousand Nine Hundred and Seventy Nine,2.ttf,2000,150
211.jpg,Seventy Nine Thousand One Hundred and Thirty Seven,0.ttf,2000,150
212.jpg,Seventy Three Crore Seventy Eight Lakh,3.ttf,1520,150
213.jpg,Ninety Five Crore Sixty Two Lakh,1.ttf,1280,150
214.jpg,Twenty Two Crore Six Lakh,3.ttf,1000,150
215.jpg,Fifty Two Thousand Five Hundred and Thirty Three,3.ttf,1920,150
216.jpg,Seventy Six Crore Thirty Eight Lakh,3.ttf,1400,150
217.jpg,Fifty Two Thousand One Hundred and Forty Seven,3.ttf,1840,150
218.jpg,Seventy Eight Crore Fifty Three Lakh,2.ttf,1440,150
219.jpg,Seventy One Thousand and Thirty Six,1.ttf,1400,150
220.jpg,Twenty Five Thousand and Twenty Four,1.ttf,1440,150
221.jpg,Thirty Five Crore Thirteen Lakh,2.ttf,1240,150
222.jpg,Thirteen Crore Fifty Three Lakh,0.ttf,1240,150
223.jpg,Ninety Five Crore Eighty Seven Lakh,1.ttf,1400,150
224.jpg,Seventy Two Crore Sixty Lakh,1.ttf,1120,150
225.jpg,Ninety One Crore Fifty Eight Lakh,0.ttf,1320,150
226.jpg,Ninety Two Thousand and Twenty Three,0.ttf,1440,150
227.jpg,Forty Six Thousand Three Hundred and Ninety Two,2.ttf,1880,150
228.jpg,Fifty One Thousand Eight Hundred and Eighty Four,0.ttf,1920,150
229.jpg,Sixty Thousand Eight Hundred and Twenty Nine,2.ttf,1760,150
230.jpg,Seventy Four Thousand One Hundred and Sixty Three,0.ttf,1960,150
231.jpg,Thirty One Thousand Four Hundred and Twenty Six,2.ttf,1880,150
232.jpg,Sixty Seven Crore Twenty Five Lakh,3.ttf,1360,150
233.jpg,Eighty Five Crore Seventy Seven Lakh,3.ttf,1440,150
234.jpg,Seventy Seven Crore Nineteen Lakh,1.ttf,1320,150
235.jpg,Sixteen Thousand Two Hundred,3.ttf,1120,150
236.jpg,Sixty Five Crore Eleven Lakh,1.ttf,1120,150
237.jpg,Sixty Seven Crore Twenty Five Lakh,3.ttf,1360,150
238.jpg,Five Crore Thirty Seven Lakh,0.ttf,1120,150
239.jpg,Fifty Nine Thousand Five Hundred and Sixty Nine,0.ttf,1880,150
240.jpg,Sixty Thousand Five Hundred and Ninety Two,2.ttf,1680,150
241.jpg,Fifty Seven Thousand and Four,0.ttf,1160,150
242.jpg,Twenty Eight Crore Thirty Nine Lakh,2.ttf,1400,150
243.jpg,Nine Thousand Three Hundred and Forty Three,2.ttf,1720,150
244.jpg,Seventy Eight Crore Thirty Three Lakh,3.ttf,1480,150
245.jpg,Sixty One Thousand One Hundred and Sixty Three,0.ttf,1840,150
246.jpg,Eighteen Crore Thirty Seven Lakh,1.ttf,1280,150
247.jpg,Fifty Crore Sixty Seven Lakh,2.ttf,1120,150
248.jpg,Eighty Five Thousand Four Hundred and Thirteen,1.ttf,1840,150
249.jpg,Thirty One Crore Two Lakh,3.ttf,1000,150
250.jpg,Seventy Four Crore Thirty Four Lakh,3.ttf,1400,150
251.jpg,Forty Seven Crore Fifty Six Lakh,2.ttf,1280,150
252.jpg,Sixty Two Thousand Four Hundred and Forty,1.ttf,1640,150
253.jpg,Seventy Four Crore Forty Seven Lakh,0.ttf,1400,150
254.jpg,Sixty Two Crore Ninety Nine Lakh,0.ttf,1280,150
255.jpg,Eight Thousand Eight Hundred and Nineteen,3.ttf,1640,150
256.jpg,Fifty Nine Thousand Eight Hundred and Ninety Eight,2.ttf,2000,150
257.jpg,Eighty Five Crore Forty Three Lakh,3.ttf,1360,150
258.jpg,Seventy One Crore Eighty Seven Lakh,0.ttf,1400,150
259.jpg,Eighty Two Thousand and Fifteen,2.ttf,1240,150
260.jpg,Eighty Five Thousand Two Hundred and Eighty,2.ttf,1720,150
261.jpg,Ninety Four Crore Two Lakh,2.ttf,1040,150
262.jpg,Ninety Six Crore Forty Two Lakh,2.ttf,1240,150
263.jpg,Seventy Four Thousand Nine Hundred and Thirty Seven,2.ttf,2040,150
264.jpg,Thirteen Thousand Four Hundred and Sixty,1.ttf,1600,150
265.jpg,Twenty Two Crore Fifteen Lakh,3.ttf,1160,150
266.jpg,Eighty Eight Thousand Four Hundred and Ninety One,0.ttf,1960,150
267.jpg,Eight Crore Two Lakh,0.ttf,800,150
268.jpg,Twenty Eight Thousand Four Hundred and Forty,0.ttf,1760,150
269.jpg,Thirty Crore Forty Lakh,3.ttf,920,150
270.jpg,Fifty Five Crore Sixteen Lakh,3.ttf,1160,150
271.jpg,Forty Five Crore Eighty Six Lakh,2.ttf,1280,150
272.jpg,Seventy One Thousand One Hundred and Ninety Seven,3.ttf,1960,150
273.jpg,Ninety Three Crore Seventeen Lakh,2.ttf,1320,150
274.jpg,Eighty Crore One Lakh,3.ttf,840,150
275.jpg,Eighty Three Crore Seventy Lakh,1.ttf,1240,150
276.jpg,Fifty Nine Crore Two Lakh,2.ttf,1000,150
277.jpg,Seven Crore Ten Lakh,3.ttf,800,150
278.jpg,Forty Seven Thousand Eight Hundred and Three,1.ttf,1760,150
279.jpg,Twenty Crore Ninety Seven Lakh,2.ttf,1200,150
280.jpg,Seventy Eight Crore Eighty Six Lakh,1.ttf,1400,150
281.jpg,Ninety Nine Thousand Nine Hundred and Four,3.ttf,1680,150
282.jpg,Twelve Crore Fifty Seven Lakh,1.ttf,1160,150
283.jpg,Seventy One Thousand Six Hundred and Forty,3.ttf,1680,150
284.jpg,Twelve Thousand One Hundred and Thirteen,0.ttf,1600,150
285.jpg,Thirty Seven Crore Sixty Seven Lakh,3.ttf,1400,150
286.jpg,Sixty Crore Sixty Lakh,2.ttf,880,150
287.jpg,Eighty One Crore Sixty One Lakh,0.ttf,1240,150
288.jpg,Thirty One Thousand Four Hundred and Thirty Six,0.ttf,1880,150
289.jpg,Seventy Five Thousand Seven Hundred and Eighty Six,2.ttf,2000,150
290.jpg,Fifty Two Crore Seventy Five Lakh,0.ttf,1320,150
291.jpg,Fifty Six Thousand Three Hundred and Forty Three,3.ttf,1920,150
292.jpg,Thirty Three Thousand Six Hundred and Nineteen,2.ttf,1840,150
293.jpg,Thirty Three Crore Nine Lakh,3.ttf,1120,150
294.jpg,Seventy Crore Sixty Four Lakh,0.ttf,1160,150
295.jpg,Twelve Crore Thirty Five Lakh,1.ttf,1160,150
296.jpg,Thirty Two Crore Seventeen Lakh,3.ttf,1240,150
297.jpg,Fifty Five Crore Eighty Five Lakh,2.ttf,1320,150
298.jpg,Twelve Thousand Five Hundred and Fifty Five,3.ttf,1720,150
299.jpg,Forty Seven Thousand Two Hundred and Twenty One,0.ttf,1880,150
300.jpg,Seventy Six Thousand Five Hundred and Sixty Seven,1.ttf,1960,150
301.jpg,Eighty Nine Crore Forty Lakh,1.ttf,1120,150
302.jpg,Forty Eight Crore Forty Five Lakh,1.ttf,1320,150
303.jpg,Nineteen Thousand Seven Hundred and Fifteen,3.ttf,1720,150
304.jpg,Sixty One Crore Forty One Lakh,1.ttf,1200,150
305.jpg,Twenty Two Thousand Five Hundred and Ninety Seven,1.ttf,1960,150
306.jpg,Fifty Five Thousand Five Hundred and Thirty Eight,1.ttf,1960,150
307.jpg,Sixty Four Crore Fifty One Lakh,0.ttf,1240,150
308.jpg,Thirty Nine Thousand Eight Hundred and Seven,2.ttf,1760,150
309.jpg,Fifty Crore One Lakh,3.ttf,800,150
310.jpg,Twenty Eight Lakh,1.ttf,680,150
311.jpg,Sixty Two Thousand Eight Hundred and Sixty Nine,1.ttf,1880,150
312.jpg,Twenty Three Thousand Nine Hundred and Thirty Nine,3.ttf,2000,150
313.jpg,Eighty Three Thousand and Thirty Four,0.ttf,1480,150
314.jpg,Three Thousand Four Hundred and Eighty One,2.ttf,1680,150
315.jpg,Fifteen Thousand One Hundred and Fifteen,2.ttf,1600,150
316.jpg,Twenty Eight Thousand Two Hundred and Twenty One,0.ttf,1920,150
317.jpg,Forty Crore Seventy Lakh,1.ttf,960,150
318.jpg,Ninety Four Crore Seventy Lakh,2.ttf,1200,150
319.jpg,Fifty Two Thousand Four Hundred and Fifty Eight,1.ttf,1880,150
320.jpg,Nineteen Thousand Seven Hundred and Sixty Seven,0.ttf,1880,150
321.jpg,Forty Six Thousand Seven Hundred and Four,1.ttf,1640,150
322.jpg,Ninety Five Crore Twenty Six Lakh,0.ttf,1320,150
323.jpg,Three Crore Eighteen Lakh,1.ttf,1000,150
324.jpg,Twenty Three Crore Ninety Two Lakh,0.ttf,1360,150
325.jpg,Ninety Six Thousand Two Hundred and Twenty One,2.ttf,1840,150
326.jpg,Ninety Four Thousand Five Hundred and Forty Four,1.ttf,1920,150
327.jpg,Six Crore Seventeen Lakh,0.ttf,960,150
328.jpg,Seventy One Crore Fifteen Lakh,0.ttf,1200,150
329.jpg,Seventy Seven Crore Sixty Seven Lakh,3.ttf,1440,150
330.jpg,Forty Six Crore Fifty Three Lakh,2.ttf,1280,150
331.jpg,Eighty Nine Thousand Five Hundred and Thirty Five,0.ttf,1960,150
332.jpg,Eleven Crore Sixty Nine Lakh,3.ttf,1120,150
333.jpg,Ninety One Crore Fifty Seven Lakh,0.ttf,1320,150
334.jpg,Eighty Six Crore Seventy Three Lakh,3.ttf,1400,150
335.jpg,Sixty Six Thousand Two Hundred and Sixty Four,0.ttf,1800,150
336.jpg,Ten Thousand Seven Hundred and Sixty Seven,2.ttf,1680,150
337.jpg,Two Thousand Five Hundred and Sixty Seven,1.ttf,1640,150
338.jpg,Ninety Thousand Eight Hundred and Thirty Seven,2.ttf,1840,150
339.jpg,Sixty Five Crore Thirty Nine Lakh,2.ttf,1320,150
340.jpg,Thirty Five Crore Fifty Eight Lakh,2.ttf,1360,150
341.jpg,Sixty Six Crore Twelve Lakh,3.ttf,1080,150
342.jpg,Thirty Seven Thousand Seven Hundred and Sixty One,3.ttf,1960,150
343.jpg,Seventy Thousand Five Hundred and Thirty Three,0.ttf,1840,150
344.jpg,Fifty One Thousand Five Hundred and Sixty,3.ttf,1640,150
345.jpg,Ninety Two Thousand Three Hundred and Sixty Five,0.ttf,1920,150
346.jpg,Eight Crore Sixty Five Lakh,0.ttf,1080,150
347.jpg,Sixty One Crore Forty Seven Lakh,0.ttf,1280,150
348.jpg,Forty Thousand Six Hundred and Thirty Three,3.ttf,1720,150
349.jpg,Nineteen Crore Eighteen Lakh,2.ttf,1120,150
350.jpg,Twenty Six Crore Thirty Two Lakh,2.ttf,1280,150
351.jpg,Sixty Seven Crore Ninety One Lakh,2.ttf,1320,150
352.jpg,Sixty Five Thousand One Hundred and Thirty One,1.ttf,1840,150
353.jpg,Sixteen Thousand Nine Hundred and Forty Five,2.ttf,1760,150
354.jpg,Sixty Six Thousand Five Hundred and Fifty Seven,1.ttf,1880,150
355.jpg,Ninety Seven Thousand Two Hundred and Twenty Nine,0.ttf,1960,150
356.jpg,Six Crore Forty Seven Lakh,3.ttf,1040,150
357.jpg,Ninety Two Thousand Four Hundred and Nine,1.ttf,1640,150
358.jpg,Ninety Six Thousand Three Hundred and Eighty Eight,2.ttf,2000,150
359.jpg,Seventy Thousand Six Hundred and Twenty Nine,2.ttf,1760,150
360.jpg,Eighty Three Crore Fifty Five Lakh,2.ttf,1360,150
361.jpg,Two Thousand One Hundred and Ninety Seven,3.ttf,1640,150
362.jpg,Twenty Three Thousand Seven Hundred and Thirty,1.ttf,1840,150
363.jpg,Sixty Crore Ninety Five Lakh,0.ttf,1120,150
364.jpg,Ninety Three Thousand and Ninety Seven,0.ttf,1520,150
365.jpg,Ninety Four Crore Forty Nine Lakh,1.ttf,1320,150
366.jpg,Ninety Two Thousand Five Hundred and Sixty Seven,3.ttf,1920,150
367.jpg,Sixty Two Crore Thirty One Lakh,1.ttf,1240,150
368.jpg,Twenty Crore Seventy Nine Lakh,2.ttf,1200,150
369.jpg,Eighty Thousand Four Hundred and Seventy Two,3.ttf,1760,150
370.jpg,Sixty Four Crore Twenty Three Lakh,0.ttf,1360,150
371.jpg,Eighty Thousand Eight Hundred and Sixty Nine,0.ttf,1760,150
